iter	RMSE
0	14.7157534
1	14.29353156
2	13.8690788
3	13.48581462
4	13.10743567
5	12.7351408
6	12.38297721
7	12.03032786
8	11.69808531
9	11.38699201
10	11.07951184
11	10.78318018
12	10.52862436
13	10.23921931
14	10.00077237
15	9.727566655
16	9.502897834
17	9.298363575
18	9.091475747
19	8.860775847
20	8.638863053
21	8.455329868
22	8.2513002
23	8.069803121
24	7.900838537
25	7.710684252
26	7.532991662
27	7.379335722
28	7.230325231
29	7.088890977
30	6.95021398
31	6.820115818
32	6.701175233
33	6.581039287
34	6.468204893
35	6.363459313
36	6.262558596
37	6.170890481
38	6.058751431
39	5.959378639
40	5.860260499
41	5.788172488
42	5.708469172
43	5.621740863
44	5.542352741
45	5.463501514
46	5.386939972
47	5.313116321
48	5.245899134
49	5.181480977
50	5.118928412
51	5.062173678
52	5.009981439
53	4.958254693
54	4.909405212
55	4.851808751
56	4.797999358
57	4.756578657
58	4.70974347
59	4.671836204
60	4.63284121
61	4.590443718
62	4.555469558
63	4.51522201
64	4.474972845
65	4.438230567
66	4.410565772
67	4.376691748
68	4.344295882
69	4.310492221
70	4.27999472
71	4.2502202
72	4.219236365
73	4.197272644
74	4.170233423
75	4.148944356
76	4.127919067
77	4.106876712
78	4.082132679
79	4.060916631
80	4.044321984
81	4.021032444
82	4.002229349
83	3.987870165
84	3.967887956
85	3.951712802
86	3.935550204
87	3.919701716
88	3.905395066
89	3.88971069
90	3.872861384
91	3.860396919
92	3.842747671
93	3.8264902
94	3.8108716
95	3.797441648
96	3.783823066
97	3.769233982
98	3.757698992
99	3.739971527
100	3.726603113
101	3.717155773
102	3.703610395
103	3.696767993
104	3.689707056
105	3.675065865
106	3.663482188
107	3.652309827
108	3.640965117
109	3.634966841
110	3.624442824
111	3.614062367
112	3.609206984
113	3.595073977
114	3.586042341
115	3.57654582
116	3.569422277
117	3.557967879
118	3.54687447
119	3.537984895
120	3.528951422
121	3.520549929
122	3.508419332
123	3.499602594
124	3.489538202
125	3.479624887
126	3.474087013
127	3.466306559
128	3.456139694
129	3.450590333
130	3.445593969
131	3.438109522
132	3.433566394
133	3.428734005
134	3.421930548
135	3.412504832
136	3.404471389
137	3.396665605
138	3.387498141
139	3.380134361
140	3.373419651
141	3.363272715
142	3.358042616
143	3.352468575
144	3.347035665
145	3.341653685
146	3.332778207
147	3.326587441
148	3.322214281
149	3.318963188
150	3.31588301
151	3.308085111
152	3.300394043
153	3.293536025
154	3.285665202
155	3.278608353
156	3.27421368
157	3.267010287
158	3.26065584
159	3.250620679
160	3.244708411
161	3.235699836
162	3.233639581
163	3.232229945
164	3.225586448
165	3.219212096
166	3.215844433
167	3.210232137
