iter	Passed	Remaining
0	2	2518
1	4	2228
2	9	3306
3	12	3051
4	14	2818
5	17	2894
6	19	2753
7	21	2608
8	24	2655
9	26	2627
10	29	2633
11	31	2566
12	34	2601
13	40	2844
14	41	2742
15	42	2627
16	43	2541
17	49	2705
18	51	2676
19	56	2759
20	58	2722
21	59	2660
22	64	2719
23	67	2736
24	68	2663
25	69	2603
26	71	2564
27	73	2541
28	75	2525
29	80	2612
30	82	2586
31	84	2555
32	88	2606
33	91	2601
34	96	2650
35	108	2903
36	109	2845
37	127	3233
38	138	3408
39	140	3368
40	148	3476
41	157	3594
42	165	3675
43	167	3637
44	168	3572
45	169	3510
46	170	3458
47	174	3461
48	175	3415
49	178	3392
50	189	3517
51	190	3479
52	192	3433
53	193	3382
54	194	3342
55	196	3305
56	198	3279
57	199	3240
58	200	3200
59	201	3154
60	202	3110
61	202	3067
62	203	3025
63	204	2985
64	204	2946
65	205	2911
66	206	2876
67	208	2863
68	209	2832
69	211	2804
70	212	2780
71	213	2747
72	213	2715
73	214	2684
74	215	2653
75	215	2625
76	216	2600
77	217	2574
78	218	2547
79	219	2520
80	219	2493
81	220	2468
82	221	2445
83	223	2439
84	224	2420
85	225	2399
86	227	2382
87	228	2370
88	229	2348
89	230	2328
90	231	2309
91	231	2288
92	232	2268
93	233	2247
94	233	2227
95	234	2208
96	235	2190
97	236	2174
98	238	2169
99	239	2154
100	240	2143
101	241	2126
102	242	2109
103	242	2092
104	243	2076
105	244	2061
106	245	2045
107	245	2029
108	246	2014
109	247	1998
110	247	1984
111	248	1969
112	249	1955
113	249	1942
114	251	1933
115	253	1928
116	253	1914
117	254	1901
118	255	1888
119	255	1875
120	256	1863
121	257	1851
122	257	1839
123	258	1827
124	259	1815
125	260	1803
126	260	1792
127	261	1780
128	262	1769
129	262	1758
130	263	1747
131	264	1737
132	266	1736
133	267	1725
134	267	1715
135	268	1704
136	269	1694
137	269	1684
138	270	1674
139	271	1665
140	271	1655
141	272	1645
142	273	1636
143	273	1627
144	274	1618
145	275	1609
146	275	1600
147	276	1591
148	277	1582
149	277	1573
150	278	1566
151	280	1563
152	281	1557
153	282	1549
154	282	1541
